t=2025-12-15T16:06:43+0500 lvl=info msg="no configuration paths supplied"
t=2025-12-15T16:06:43+0500 lvl=info msg="using configuration at default config path" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-15T16:06:43+0500 lvl=info msg="open config file" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-15T16:06:43+0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-15T16:06:43+0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-15T16:06:43+0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-15T16:06:43+0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-15T16:06:44+0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://transitionally-jonnick-barbera.ngrok-free.dev
t=2025-12-15T16:07:38+0500 lvl=info msg="join connections" obj=join id=07e771b0574c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:39+0500 lvl=info msg="join connections" obj=join id=8bc6c9e5f2f6 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:39+0500 lvl=info msg="join connections" obj=join id=87e6aea0dca6 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:39+0500 lvl=info msg="join connections" obj=join id=313f7e6141de l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:39+0500 lvl=info msg="join connections" obj=join id=2bf93700437c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:39+0500 lvl=info msg="join connections" obj=join id=f77323ca42ac l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:39+0500 lvl=info msg="join connections" obj=join id=7fde42d19d1c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=b72047879fe7 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=57c967ff0dfe l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=f40a2dded542 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=d1320098d58c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=beea1ea720c7 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=3f6cb423bf65 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:40+0500 lvl=info msg="join connections" obj=join id=cbb968d95d82 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:07:41+0500 lvl=info msg="join connections" obj=join id=ea24ecd1e6d0 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64314
t=2025-12-15T16:08:08+0500 lvl=info msg="join connections" obj=join id=f2383cd7debc l=127.0.0.1:3000 r=35.173.139.133:25846
t=2025-12-15T16:08:09+0500 lvl=info msg="join connections" obj=join id=c82569b2492f l=127.0.0.1:3000 r=54.166.163.77:19792
t=2025-12-15T16:08:10+0500 lvl=info msg="join connections" obj=join id=983aab291ca7 l=127.0.0.1:3000 r=18.212.155.173:17874
t=2025-12-15T16:08:19+0500 lvl=info msg="join connections" obj=join id=5fa531216bf6 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:19+0500 lvl=info msg="join connections" obj=join id=0f94e5c07d76 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:19+0500 lvl=info msg="join connections" obj=join id=43ba6751cfcc l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=d30fae0d48e0 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=d228b7dcb1fd l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=0d7ec2adfb51 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=f9a4c6bb6f6a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=1636ea0c29bf l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=5aaade388d38 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=d4cc9d505d24 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=72f5df8c2d0a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=6e8d160f7987 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=a6fa030ca584 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=eb7deee621e8 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=5b22b72ad377 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=55c9e837d8fb l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=2723b83a325a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=726eebc7b391 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:59210
t=2025-12-15T16:08:20+0500 lvl=info msg="join connections" obj=join id=07f99ae7d68a l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
